run,condition,n_tasks,memory_use_rate,task_success_rate,extraction_error_rate,update_error_rate,irrelevant_retrieval_rate,drift_rate,policy_override_failure_rate,privacy_leak_rate,poisoning_success_rate,unlearning_failure_rate
1,C0_No_Memory,500,0.0,0.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,C1_Storage,500,0.246,0.592,0.032520325203252036,0.016260162601626018,0.08943089430894309,0.036,0.024,0.0,0.0,0.0
1,C2_Reflective,500,0.372,0.558,0.03763440860215054,0.0913978494623656,0.0913978494623656,0.04,0.044,0.0,0.0,0.0
1,C3_Experience,500,0.44,0.542,0.07727272727272727,0.17272727272727273,0.17727272727272728,0.062,0.068,0.006,0.002,0.002
1,C4_Guarded_Experience,500,0.434,0.554,0.004608294930875576,0.027649769585253458,0.02304147465437788,0.072,0.022,0.004,0.0,0.0
2,C0_No_Memory,500,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,C1_Storage,500,0.268,0.564,0.022388059701492536,0.014925373134328358,0.09701492537313433,0.042,0.034,0.0,0.0,0.0
2,C2_Reflective,500,0.378,0.524,0.0582010582010582,0.06878306878306878,0.15873015873015872,0.076,0.034,0.012,0.004,0.002
2,C3_Experience,500,0.464,0.53,0.10344827586206896,0.11637931034482758,0.14224137931034483,0.116,0.068,0.026,0.008,0.002
2,C4_Guarded_Experience,500,0.436,0.562,0.0,0.013761467889908258,0.027522935779816515,0.078,0.014,0.002,0.0,0.0
3,C0_No_Memory,500,0.0,0.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,C1_Storage,500,0.242,0.582,0.024793388429752067,0.024793388429752067,0.08264462809917356,0.024,0.026,0.002,0.0,0.0
3,C2_Reflective,500,0.388,0.49,0.06701030927835051,0.05670103092783505,0.08762886597938144,0.07,0.036,0.022,0.0,0.002
3,C3_Experience,500,0.456,0.576,0.07894736842105263,0.11403508771929824,0.17105263157894737,0.108,0.064,0.02,0.002,0.002
